Address,Country,Coordinates,Address found
Glasgow G12 8QQ,gb,"55.87175140000001,-4.2883597","Glasgow G12 8QQ, UK"
"Old College, South Bridge, Edinburgh EH8 9YL",gb,"55.9474302,-3.1872571","University of Edinburgh, South Bridge, Edinburgh EH8 9YL, UK"
"Castlehill, Edinburgh EH1 2NG",gb,"55.9488165,-3.1966843","Castlehill, Edinburgh EH1 2NG, UK"
